client_id,client_name,state,region
CL001,Sunrise Medical Center,Texas,South
CL002,Lakeside General Hospital,California,West
CL003,Northview Health System,Illinois,Midwest
CL004,Riverside Family Clinic,Florida,South
CL005,Maple Grove Hospital,Ohio,Midwest
CL006,Pinecrest Regional Medical,New York,Northeast
CL007,Summit Care Hospital,Georgia,South
CL008,Harborview Health Group,Washington,West
CL009,Cedarwood Clinic Network,North Carolina,South
CL010,Bright Path Medical,Arizona,West
CL011,Union Square Hospital,New Jersey,Northeast
CL012,Golden Valley Health,Colorado,West
CL013,Fairview Community Hospital,Michigan,Midwest
CL014,Stonebridge Medical Center,Pennsylvania,Northeast
CL015,Willow Creek Health System,Tennessee,South
